start,end,size,internal_calls,imports
0000F798,0000F7FC,100,0000DD3C 0000FC28,
0000F7FC,0000F8D8,220,00004438 00004064,
0000F8D8,0000F96C,148,00004064 00004064,
0000F96C,0000FA2C,192,0000F8D8 00004064 00004064 0000F8D8,
0000FA2C,0000FB34,264,0000419C 0000473C,
0000FB34,0000FC28,244,0000419C 0000419C,
0000FC28,0000FCD8,176,00023850 00004438,
0000FCD8,000101A0,1224,0000DB48,SectRect SectRect SectRect SectRect SectRect SectRect SectRect SectRect SectRect ExitToShell
000101A0,00010648,1192,0000DB48,PtInRect PtInRect PtInRect PtInRect PtInRect PtInRect PtInRect PtInRect PtInRect ExitToShell
00010648,000107B4,364,0001487C 0000F558 00004A9C 00002628 000098F0 00012BF0 0000E0C4 00004A9C 00002628 0001487C,
000107B4,00011318,2916,0000F558 0001487C 0001487C 0001487C 0001487C 0001487C 0001487C 0001487C,DebugStr
00011318,000113B8,160,0000DDD0 0000DF14 000107B4,
000113B8,00012224,3692,00002598 00002598 00002598 00002598 00011318 0000F7FC 0001487C 00016BB4 0001487C 0001487C 0000F7FC 000107B4 000107B4 000124B0 00016BB4 0000F7FC 00016BB4 0000F7FC 000122C4 00016BB4 0001487C 00002598 00016BB4 00002598 00012224 00012224 00012224 00012224 00012224 00012224 0001487C 00002598 0001487C 0000F334 0000F334 0000E55C 000172DC 0001801C 000174E8 000173F8 000177A8 000173F8 0000DEB0 00013D5C 0000F4F0 00012370 0000E55C,Random sqrt sqrt
00012224,000122C4,160,00011318,
000122C4,00012370,172,00011318 0001487C,
00012370,000124B0,320,0001487C 0000F738 000124B0 000124B0 000124B0,
000124B0,00012754,676,0000419C 0000F420 0000F488 0000F4F0 000107B4,
00012754,00012BF0,1180,0000B604 0000307C 00002F1C 00002F1C 00004510 0000DC9C 0000DC9C 0000DC9C 0000DC9C 00004134 00012BF0 0000E0C4 00004A9C 00002628 00002598 0000CF84 0000DD84 00002598 00002598 0001A55C 0000E858 00004A9C 00002628 00006DCC 00002628 00002598 000040C4 00004134,GetHandleSize UseResFile Get1Resource Get1Resource Get1Resource Get1Resource UseResFile GetDateTime LMGetTicks GetOSEvent ReleaseResource ReleaseResource ReleaseResource ReleaseResource
00012BF0,00013328,1848,00004134 000040C4 00004510 0000DDD0 000107B4 00013328 00004064 00004064 00004064 00004064 00004064 00004064 00004064 00004064 0000DC9C 0000F7FC 0000FB34 0000F8D8 0000F334 0000F8D8 0000F8D8 0000F420 0000F488 0000F4F0 0000F558 0000F6D4 0000F738 0000F798,UseResFile GetCIcon OffsetRect PlotCIcon DisposeCIcon UseResFile LMGetTicks LMGetTicks LMGetTicks sqrt ReleaseResource
00013328,00013D5C,2612,00013D5C 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00004E24 00013D5C 00013D5C 00013D5C 00004E24 00004E24 00013D5C 00013D5C 00013D5C,Random
